id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
10324744,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,5707549,Véronique,,Rosemont-La Petite-Patrie,45.55042825270587,-73.59067109189805,Entire home/apt,65,31,1,2023-03-31,0.73,1,194,1,,Montreal
6747261,Home in Montréal · ★4.74 · 3 bedrooms · 5 beds · 1.5 baths,27109383,Julie,,Rosemont-La Petite-Patrie,45.53573,-73.60439,Entire home/apt,373,2,73,2022-12-11,0.76,1,146,16,298469,Montreal
10340183,Rental unit in Montréal · ★4.94 · 1 bedroom · 1 bed · 1 bath,53212163,Véronique,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47258,-73.61702,Entire home/apt,118,1,376,2023-05-03,4.24,1,71,63,301530,Montreal
10469557,Rental unit in Montréal · ★4.98 · 1 bedroom · 2 beds · 1 bath,2676852,Luc,,Le Plateau-Mont-Royal,45.53288,-73.58239,Entire home/apt,354,3,185,2023-05-01,2.38,5,311,16,304204,Montreal
7929258,Condo in Montréal · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49063,-73.62835,Entire home/apt,300,31,8,2022-09-02,0.09,3,362,1,,Montreal
6766263,Condo in Montréal · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,35422266,Jean,,Villeray-Saint-Michel-Parc-Extension,45.55035,-73.60706,Private room,50,31,25,2019-11-19,0.26,1,153,0,,Montreal
7936491,Rental unit in Montréal · ★4.89 · 3 bedrooms · 3 beds · 1 bath,41850801,Dom,,Le Sud-Ouest,45.48538,-73.57581,Entire home/apt,325,32,45,2022-08-14,0.48,1,94,4,,Montreal
10498422,Condo in Montréal · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,54123735,Louis,,Ville-Marie,45.49388,-73.5834,Entire home/apt,125,32,9,2021-12-21,0.1,1,288,0,,Montreal
6805517,Rental unit in Montréal · ★4.67 · Studio · 1 bed · 1 bath,6312297,Katherine,,Le Plateau-Mont-Royal,45.52716,-73.57465,Entire home/apt,48,32,18,2022-01-10,0.19,13,256,0,,Montreal
7936526,Rental unit in Montreal · ★4.61 · 1 bedroom · 2 beds · 1 bath,442223310,BESTBNB Conciergerie,,Le Plateau-Mont-Royal,45.52024,-73.57971,Entire home/apt,109,31,190,2022-08-30,3.06,6,312,14,,Montreal
6812722,Rental unit in Montréal · ★4.89 · 3 bedrooms · 4 beds · 1 bath,24290215,Yann,,Le Plateau-Mont-Royal,45.52021,-73.57217,Entire home/apt,368,2,173,2023-04-30,1.81,19,204,37,286720,Montreal
7936996,Rental unit in Montréal · ★4.75 · 1 bedroom · 1 bed · 1 bath,41854471,Nancy,,Mercier-Hochelaga-Maisonneuve,45.6071,-73.52828,Entire home/apt,53,32,8,2023-05-01,0.18,1,257,4,,Montreal
10501253,Rental unit in Montréal · ★4.91 · 1 bedroom · 2 beds · 1 bath,17263237,Kim,,Le Plateau-Mont-Royal,45.51646,-73.57201,Entire home/apt,95,1,537,2023-05-08,6.37,1,4,111,294434,Montreal
6813314,Rental unit in Montréal · ★4.79 · 1 bedroom · 1 bed · 1 private bath,19492587,Reina,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4941,-73.60927,Private room,88,32,52,2023-04-22,0.62,1,30,9,,Montreal
10655713,Home in Montréal · ★4.56 · 1 bedroom · 1 bed · 2 shared baths,31822751,Yuan,,Saint-Laurent,45.51307,-73.66236,Private room,35,32,19,2022-11-12,0.23,7,335,3,,Montreal
6851541,Rental unit in Montréal · ★4.75 · 2 bedrooms · 2 beds · 2 baths,18712823,Jeff,,Ville-Marie,45.50267,-73.55582,Entire home/apt,95,90,25,2022-08-03,0.26,1,273,1,,Montreal
10660751,Rental unit in Montreal · 4 bedrooms · 4 beds · 2 baths,12176923,Isabelle,,Ahuntsic-Cartierville,45.55845,-73.6572,Entire home/apt,91,300,0,,,1,0,0,,Montreal
7970159,Rental unit in Montréal · 2 bedrooms · 2 beds · 1.5 baths,387422,Service,,Ville-Marie,45.49514,-73.59434,Entire home/apt,197,180,0,,,21,130,0,,Montreal
6863600,Rental unit in Montréal · ★4.55 · 3 bedrooms · 3 beds · 1 bath,15666508,Polina,,LaSalle,45.41796,-73.61237,Entire home/apt,65,32,11,2022-08-25,0.14,3,148,3,,Montreal
10691088,Condo in Montréal · ★4.58 · 2 bedrooms · 3 beds · 1 bath,55233753,Burhan,,Ville-Marie,45.49724,-73.56974,Entire home/apt,186,32,12,2022-12-19,0.26,1,281,1,,Montreal
6864866,Serviced apartment in Mt Royal · ★4.0 · 1 bedroom · 1 bed · 1 bath,13826429,Maya,,Mont-Royal,45.51715,-73.65627,Entire home/apt,60,32,4,2018-10-08,0.04,18,365,0,,Montreal
10885012,Rental unit in Montréal · ★4.33 · 2 bedrooms · 1 bed · 1 bath,2506475,Sarah,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47836,-73.62936,Entire home/apt,155,31,3,2022-06-22,0.17,1,307,1,,Montreal
8053698,Rental unit in Montréal · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,42533465,Sib & Chris,,Verdun,45.46231,-73.56551,Private room,55,31,26,2022-12-01,0.31,2,282,7,,Montreal
6866740,Serviced apartment in Mt Royal · 1 bedroom · 1 bed · 1 bath,13826429,Maya,,Mont-Royal,45.51508,-73.65732,Entire home/apt,60,32,1,2018-09-04,0.02,18,365,0,,Montreal
8238432,Rental unit in Montréal · ★4.72 · 1 bedroom · 1 bed · 1 bath,2402679,Anastasia,,Le Plateau-Mont-Royal,45.5238,-73.57813,Entire home/apt,124,32,319,2023-04-28,3.43,1,340,58,,Montreal
10994919,Rental unit in Saint-Laurent · ★4.69 · 2 bedrooms · 2 beds · 1 private bath,57049518,Abdelkader,,Saint-Laurent,45.5112,-73.67754,Private room,165,31,45,2023-01-08,0.53,1,324,11,,Montreal
6877196,Rental unit in Montréal · ★4.76 · 1 bedroom · 3 beds · 1 bath,2624022,Steve,,Le Plateau-Mont-Royal,45.51497,-73.57836,Entire home/apt,72,32,125,2023-01-01,1.49,4,0,24,,Montreal
